image_id,class,bbox,occluded,matched,lighting,weather,occlusion,size_bucket
frame_001.jpg,car,"[100.0, 120.0, 80.0, 60.0]",False,True,day,clear,low,medium
frame_001.jpg,car,"[220.0, 130.0, 90.0, 70.0]",False,True,day,clear,low,medium
frame_001.jpg,pedestrian,"[400.0, 200.0, 25.0, 70.0]",False,True,day,clear,low,medium
frame_001.jpg,traffic_light,"[500.0, 40.0, 18.0, 40.0]",False,True,day,clear,low,small
frame_002.jpg,car,"[60.0, 150.0, 110.0, 80.0]",False,True,day,rain,high,medium
frame_002.jpg,bicycle,"[350.0, 220.0, 60.0, 80.0]",True,True,day,rain,high,medium
frame_002.jpg,pedestrian,"[420.0, 210.0, 28.0, 75.0]",True,False,day,rain,high,medium
frame_003.jpg,car,"[200.0, 180.0, 100.0, 70.0]",False,True,day,clear,medium,medium
frame_003.jpg,truck,"[330.0, 140.0, 150.0, 130.0]",False,True,day,clear,medium,large
frame_003.jpg,pedestrian,"[480.0, 220.0, 22.0, 60.0]",False,True,day,clear,medium,medium
frame_003.jpg,pedestrian,"[510.0, 222.0, 20.0, 58.0]",True,False,day,clear,medium,medium
frame_004.jpg,car,"[120.0, 160.0, 95.0, 70.0]",False,True,night,clear,medium,medium
frame_004.jpg,car,"[260.0, 170.0, 85.0, 65.0]",True,True,night,clear,medium,medium
frame_004.jpg,traffic_light,"[480.0, 30.0, 16.0, 36.0]",False,True,night,clear,medium,small
frame_005.jpg,pedestrian,"[180.0, 210.0, 26.0, 75.0]",False,True,day,clear,low,medium
frame_005.jpg,pedestrian,"[220.0, 215.0, 24.0, 72.0]",False,False,day,clear,low,medium
frame_005.jpg,bicycle,"[380.0, 230.0, 55.0, 70.0]",False,True,day,clear,low,medium
frame_005.jpg,car,"[450.0, 180.0, 100.0, 70.0]",False,True,day,clear,low,medium
frame_006.jpg,car,"[100.0, 170.0, 110.0, 80.0]",False,True,day,clear,low,medium
frame_006.jpg,car,"[260.0, 175.0, 95.0, 70.0]",False,True,day,clear,low,medium
frame_006.jpg,truck,"[400.0, 130.0, 160.0, 140.0]",False,True,day,clear,low,large
frame_007.jpg,pedestrian,"[150.0, 220.0, 26.0, 78.0]",True,False,night,fog,high,medium
frame_007.jpg,pedestrian,"[200.0, 225.0, 24.0, 76.0]",True,False,night,fog,high,medium
frame_007.jpg,car,"[400.0, 180.0, 100.0, 70.0]",False,True,night,fog,high,medium
frame_008.jpg,car,"[120.0, 170.0, 100.0, 75.0]",False,True,day,clear,low,medium
frame_008.jpg,bicycle,"[320.0, 215.0, 58.0, 78.0]",False,True,day,clear,low,medium
frame_008.jpg,traffic_light,"[490.0, 35.0, 18.0, 38.0]",False,True,day,clear,low,small
frame_009.jpg,car,"[80.0, 160.0, 105.0, 75.0]",False,True,night,rain,medium,medium
frame_009.jpg,car,"[240.0, 170.0, 95.0, 70.0]",True,False,night,rain,medium,medium
frame_009.jpg,pedestrian,"[420.0, 215.0, 25.0, 72.0]",False,False,night,rain,medium,medium
frame_010.jpg,truck,"[200.0, 120.0, 180.0, 150.0]",False,True,day,clear,low,large
frame_010.jpg,car,"[430.0, 180.0, 100.0, 70.0]",False,True,day,clear,low,medium
frame_010.jpg,pedestrian,"[560.0, 220.0, 24.0, 70.0]",False,True,day,clear,low,medium
